pixel,flux_adu
5.060000000000000000e+02,3.902454648014917893e+03
5.070000000000000000e+02,3.708895237740879566e+03
5.080000000000000000e+02,3.859044205812295331e+03
5.090000000000000000e+02,4.012753190834396719e+03
5.100000000000000000e+02,4.173643133140728423e+03
5.110000000000000000e+02,3.495407490203914676e+03
5.120000000000000000e+02,3.273281010453472391e+03
5.130000000000000000e+02,2.760146335786324926e+03
5.140000000000000000e+02,2.573733800997304570e+03
5.150000000000000000e+02,2.376196727116730926e+03
5.160000000000000000e+02,2.193531776978281869e+03
5.170000000000000000e+02,2.507079202636683476e+03
5.180000000000000000e+02,3.116016731651211103e+03
5.190000000000000000e+02,2.800048426790623125e+03
5.200000000000000000e+02,2.458105642393646121e+03
5.210000000000000000e+02,2.766728260785054772e+03
5.220000000000000000e+02,2.964296996799141198e+03
5.230000000000000000e+02,3.229580019671166156e+03
5.240000000000000000e+02,2.563672187420103455e+03
5.250000000000000000e+02,2.772484320197624584e+03
5.260000000000000000e+02,2.958675799475023723e+03
5.270000000000000000e+02,2.867463105106266539e+03
5.280000000000000000e+02,2.747072422307924626e+03
5.290000000000000000e+02,2.902643195013504283e+03
5.300000000000000000e+02,3.864563322098767003e+03
5.310000000000000000e+02,3.850764179560359025e+03
5.320000000000000000e+02,3.098517063316935491e+03
5.330000000000000000e+02,2.800757792626334322e+03
5.340000000000000000e+02,3.126930592149957192e+03
5.350000000000000000e+02,3.141657945196808214e+03
5.360000000000000000e+02,3.773815965318991402e+03
5.370000000000000000e+02,3.666920574463638786e+03
5.380000000000000000e+02,3.340761159775938268e+03
5.390000000000000000e+02,3.122024939575961071e+03
5.400000000000000000e+02,3.689146877381243939e+03
5.410000000000000000e+02,4.031468469878954693e+03
5.420000000000000000e+02,3.980335812532278396e+03
5.430000000000000000e+02,3.554490212032145791e+03
5.440000000000000000e+02,3.554250721606985735e+03
5.450000000000000000e+02,3.168850299258837367e+03
5.460000000000000000e+02,3.800086376029265011e+03
5.470000000000000000e+02,4.130124830033125363e+03
5.480000000000000000e+02,4.449310606856969571e+03
5.490000000000000000e+02,4.433737627311669712e+03
5.500000000000000000e+02,3.483151975812430010e+03
5.510000000000000000e+02,2.851925659285594975e+03
5.520000000000000000e+02,2.886835927816129242e+03
5.530000000000000000e+02,2.828657747937483691e+03
5.540000000000000000e+02,3.177185314433982057e+03
5.550000000000000000e+02,3.111024187523128603e+03
5.560000000000000000e+02,2.915491644974365045e+03
5.570000000000000000e+02,2.669710019190489220e+03
5.580000000000000000e+02,2.563137912664342366e+03
5.590000000000000000e+02,2.830083422265036916e+03
5.600000000000000000e+02,2.823745157946627842e+03
5.610000000000000000e+02,2.387021425947043554e+03
5.620000000000000000e+02,2.408872553609374791e+03
5.630000000000000000e+02,2.691972202122551607e+03
5.640000000000000000e+02,3.113545402524466226e+03
5.650000000000000000e+02,2.965577972247759135e+03
5.660000000000000000e+02,3.091144819718900635e+03
5.670000000000000000e+02,3.034740184562514060e+03
5.680000000000000000e+02,3.150685147220277486e+03
5.690000000000000000e+02,3.566772798732456522e+03
5.700000000000000000e+02,4.294026766195399432e+03
5.710000000000000000e+02,4.278026019169801657e+03
5.720000000000000000e+02,4.143338152087795606e+03
5.730000000000000000e+02,3.654455541745119717e+03
5.740000000000000000e+02,3.966762436000120033e+03
5.750000000000000000e+02,3.170080404135148910e+03
5.760000000000000000e+02,2.624412541686490840e+03
5.770000000000000000e+02,2.561487173174148211e+03
5.780000000000000000e+02,2.457787133272682240e+03
5.790000000000000000e+02,2.350139925270249023e+03
5.800000000000000000e+02,2.588149212532424826e+03
